Q1A,Q1E,Q2A,Q2E,Q3A,Q3E,Q4A,Q4E,Q5A,Q5E,Q6A,Q6E,Q7A,Q7E,Q8A,Q8E,Q9A,Q9E,Q10A,Q10E,Q11A,Q11E,Q12A,Q12E,Q13A,Q13E,Q14A,Q14E,Q15A,Q15E,Q16A,Q16E,Q17A,Q17E,Q18A,Q18E,Q19A,Q19E,Q20A,Q20E,Q21A,Q21E,Q22A,Q22E,Q23A,Q23E,Q24A,Q24E,Q25A,Q25E,Q26A,Q26E,Q27A,Q27E,Q28A,Q28E,Q29A,Q29E,Q30A,Q30E,Q31A,Q31E,Q32A,Q32E,Q33A,Q33E,Q34A,Q34E,Q35A,Q35E,Q36A,Q36E,Q37A,Q37E,Q38A,Q38E,Q39A,Q39E,Q40A,Q40E,Q41A,Q41E,Q42A,Q42E,country,introelapse,testelapse,surveyelapse,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,education,urban,gender,age,religion,married,familysize,major,major_category
4,3890,4,2122,2,1944,4,2044,4,2153,4,2416,4,2818,4,2259,2,5541,1,4441,4,2451,4,3325,4,1416,4,5021,4,2342,4,2480,3,2476,4,1627,3,9050,3,7001,1,4719,4,2984,4,1313,4,2444,4,9880,4,4695,4,1677,3,6723,4,5953,2,8062,4,5560,4,3032,2,3316,3,3563,4,5594,4,1477,1,3885,2,5265,4,1892,3,4228,4,1574,4,2969,IN,19,167,166,1,5,7,7,7,7,7,5,1,1,2,3,2,16,12,1,2,Others,Others
4,8118,1,2890,2,4777,3,3090,4,5078,4,2790,3,3408,4,8342,3,916,2,1537,2,3926,2,3691,4,2004,4,8888,3,4109,3,4058,4,3692,2,3373,1,6015,1,3023,2,2670,3,5727,1,3641,2,2670,2,7649,3,2537,3,2907,4,1685,3,4726,3,6063,2,3307,3,4995,3,2505,2,2540,2,4359,3,3925,4,4609,2,3755,2,2323,1,5713,2,1334,2,5562,US,1,193,186,6,5,4,7,5,4,7,7,1,5,2,3,2,16,7,1,4,Others,Others
3,5784,1,4373,4,3242,1,6470,4,3927,3,3704,1,4550,3,3021,2,5864,4,3722,2,3424,1,3236,4,2489,1,7290,4,6587,4,3627,4,2905,2,2998,2,10233,1,4258,4,2888,3,59592,2,11732,4,8834,2,7358,1,4928,2,3036,1,4127,2,3934,2,10782,4,8273,3,3501,1,3824,4,2141,3,17461,4,1557,4,4446,4,1883,2,5790,2,4432,1,2203,4,5768,PL,5,271,122,2,5,2,2,5,6,5,5,3,2,2,3,2,17,4,1,3,Others,Others
2,5081,3,6837,2,5521,1,4556,3,3269,3,3231,4,7138,2,3079,3,9650,3,4179,2,5928,1,2838,1,2560,4,5139,2,3597,2,3336,3,4506,1,2695,1,8128,2,3125,1,4061,1,4272,1,4029,1,5630,1,30631,2,9870,4,2411,1,9478,3,7618,3,12639,3,5378,1,8923,2,2977,4,5620,1,16760,1,6427,2,3760,1,4112,3,2769,4,4432,4,3643,2,3698,US,3,261,336,1,1,7,4,6,4,6,1,6,1,1,3,2,13,4,1,5,biology,Sciences
2,3215,2,7731,3,4156,4,2802,4,5628,2,6522,4,2374,4,3054,4,2975,3,3524,2,3033,4,2132,4,1314,4,3181,4,2249,3,2623,4,3093,4,7098,4,1938,4,3502,3,4776,3,4463,4,2436,2,4047,4,3787,4,2102,2,12351,4,2410,2,5056,4,3343,3,3012,4,3520,4,1868,4,2536,3,3725,4,2130,3,3952,3,10694,3,3231,4,3604,4,1950,3,6265,MY,1766,164,157,2,5,3,6,5,5,5,6,3,3,3,2,2,19,10,1,4,Psychology,Social Sciences
1,6116,1,3193,2,12542,1,6150,3,6428,1,17001,1,2944,3,8626,3,9639,2,6175,1,6008,2,9267,1,5290,3,25694,2,7634,4,8513,2,9078,1,4381,1,6647,2,6250,1,3842,1,7876,1,3124,2,6836,1,12063,1,9264,1,3957,1,2537,3,10880,2,8462,2,5615,1,11412,4,5112,1,3070,3,13377,2,4506,2,17227,2,7844,1,20253,1,8528,1,4370,2,10310,US,4,349,213,2,1,6,1,7,7,7,2,6,7,2,3,2,20,4,1,4,Others,Others
1,4325,1,4009,2,3604,3,4826,4,2842,1,2342,3,9018,3,3717,3,7023,4,3312,1,3930,2,4558,2,2883,2,8984,3,41618,4,17311,2,4514,2,43266690,1,22234,3,5111,4,2831,1,103530,3,3398,3,4551,2,7096,2,2908,1,3189,2,2409,2,1672595,3,9032,4,5133,2,5469,4,2690,3,7122,2,8044,2,2242,4,3951,4,2272,4,3398,2,5101,2,93656,3,84607,MX,1143,45459,170,2,5,6,5,3,2,6,3,5,5,2,3,2,17,7,1,4,Mechatronics engeenerieng,Computer Science
1,4796,1,2618,1,5823,1,6596,3,7635,2,7384,2,11570,1,2958,1,12300,1,3605,2,5338,1,4842,1,1422,2,10166,2,4058,1,7770,1,1513,2,3281,1,9377,2,10548,1,1798,1,4086,1,2053,1,6303,2,7299,2,3395,2,2520,1,5961,1,3379,1,10533,1,5667,1,6062,1,1892,1,1405,1,10145,1,3675,1,5432,1,2897,2,2732,1,9251,1,2954,2,8665,GB,234,232,152,7,6,4,5,3,2,6,3,5,2,4,2,2,29,2,1,2,Music,Arts
4,3470,4,2139,3,11043,4,1829,3,5847,4,3529,4,1855,4,3000,4,6066,3,2539,4,3079,4,4134,4,1233,3,5252,4,3588,4,2784,3,8302,4,4083,4,4179,4,3284,3,5699,4,3267,4,1704,3,5733,2,9601,4,9435,2,10214,4,1806,4,2983,3,10286,4,3801,2,9552,4,1497,4,1567,2,8033,4,2036,4,3868,3,3682,2,2751,4,7497,4,2179,4,3662,US,17,195,242,1,4,5,7,5,7,6,7,1,4,2,3,1,16,12,1,4,Psychology ,Social Sciences
3,5187,2,2600,4,2015,1,3111,4,1712,4,1719,3,2049,4,2623,4,3853,4,1888,4,2511,4,2610,4,1298,4,4647,2,2800,4,1864,4,2924,1,3335,4,4071,4,6371,4,1741,3,3161,1,2232,4,2681,3,7140,4,2633,4,1670,4,1387,4,1810,3,3126,4,2094,2,5727,4,2070,4,1813,3,5171,4,1593,4,1830,4,1337,4,1392,4,2711,3,2459,4,1891,DE,2,120,140,1,7,5,7,5,7,1,2,1,7,1,1,2,18,2,1,3,computer programming,Computer Science
3,3352,1,4322,2,3083,1,2204,3,1180,3,2218,1,2378,3,2082,1,3917,1,5533,3,2865,2,10725,2,4205,4,4387,2,2750,3,2600,2,3886,3,3073,1,3919,1,1919,1,3385,1,4127,1,6035,3,2667,1,5481,1,3213,3,2452,1,2103,3,4451,2,4967,3,2960,3,4199,1,2516,2,2880,3,3416,1,2400,1,4543,2,4866,3,2149,1,5033,1,2104,2,10150,US,3,162,167,5,3,6,6,3,4,4,7,5,7,1,2,1,15,6,1,1,Others,Others
3,4024,3,2116,2,3408,2,2283,4,2253,3,2015,1,1821,3,1593,4,5626,3,1776,3,1717,3,2245,3,1740,3,2235,1,2149,1,4636,3,2270,2,4390,4,4437,3,2169,2,2833,4,1919,1,1561,2,2285,3,2997,3,4831,2,2089,2,1998,3,1582,3,2360,2,2781,2,2769,4,3312,3,1412,2,5201,3,2347,1,2439,2,1876,4,3695,3,2816,1,1987,2,1833,US,515,511,121,6,5,6,6,6,2,5,3,3,3,2,1,2,18,6,1,2,Others,Others
1,3055,1,1812,1,3266,1,1567,1,2851,2,2931,1,4374,3,1781,1,3696,3,1850,3,2853,2,2334,3,1668,4,7555,1,2004,3,2150,3,1963,2,3497,4,2240,2,1885,3,2057,2,2269,1,1501,2,3640,1,2468,3,1601,3,1464,1,1682,3,2203,3,4234,1,4070,1,3667,1,2083,2,1535,1,2650,2,1464,4,2634,2,5594,4,1614,2,2352,3,2355,2,3985,US,12,113,148,5,1,4,6,5,5,7,6,2,1,3,0,2,20,1,1,2,Sociology,Social Sciences
1,2890,4,3910,1,3132,2,5132,3,4903,1,5970,1,2632,3,4409,2,8096,1,3818,2,6870,1,2546,4,2870,1,5799,1,2589,3,8077,4,4151,3,4146,1,4396,1,5279,1,2999,3,4281,2,2669,3,3835,1,5369,1,1657,2,3428,3,3819,3,4136,3,6804,2,3908,2,4329,2,3178,1,1855,1,2424,4,3662,1,2538,1,3022,2,5017,4,4423,2,6270,3,3402,EE,84,175,162,5,2,5,5,2,6,7,6,6,2,4,2,1,31,12,1,5,Art,Arts
1,2901,1,9036,1,3775,1,2027,1,2714,1,3626,1,4496,1,3453,1,4619,1,2540,1,2946,1,3508,1,1727,1,4508,1,2490,1,3725,1,4826,1,2425,1,3002,1,2371,1,4058,1,2721,1,2511,1,2981,1,4554,1,1894,1,1541,1,3354,1,3129,1,5256,1,5345,1,3058,1,1690,1,1686,1,4135,1,1852,1,4181,1,1898,1,1389,1,4266,1,1534,1,3449,US,2,143,228,3,5,6,1,6,5,3,2,7,2,3,2,1,34,1,3,2,Biology and Philosophy dual major,Sciences
